headline,web_url,pub_date,byline,section,full_text
Hamas Choreographs a Show of Force as It Hands Over the Hostages,https://www.nytimes.com/2025/01/25/world/middleeast/hamas-israel-hostages-oct-7.html,2025-01-25T11:26:20+0000,By Adam Rasgon and Nadav Gavrielov,World,
Read the Letter to Sullivan & Cromwell,https://www.nytimes.com/interactive/2024/07/30/business/sullivan-letter.html,2024-07-30T21:04:46+0000,,Business Day,
Gaza War Has Buoyed Egypt’s Leader Ahead of Presidential Vote,https://www.nytimes.com/2023/12/10/world/middleeast/egypt-election-gaza-war.html,2023-12-10T05:01:28+0000,By Vivian Yee,World,
"‘The Ally,’ a New Play at the Public Theater, Hashes Out the Headlines",https://www.nytimes.com/2024/02/22/theater/itamar-moses-the-ally.html,2024-02-22T17:29:17+0000,By Marc Tracy,Theater,
Why Iran Is the Common Link in Conflicts From Gaza to Pakistan,https://www.nytimes.com/2024/01/18/world/middleeast/iran-conflict-gaza-pakistan-hezbollah.html,2024-01-18T21:03:34+0000,By Cassandra Vinograd,World,
A Strategic Dilemma,https://www.nytimes.com/2023/11/28/briefing/israel-gaza-ceasefire-hostages.html,2023-11-28T11:55:48+0000,By David Leonhardt,Briefing,
"Michigan and CUNY Mishandled Discrimination Complaints, Education Dept. Finds",https://www.nytimes.com/2024/06/17/us/politics/michigan-cuny-discrimination-complaints.html,2024-06-17T17:34:47+0000,By Zach Montague,U.S.,
Netanyahu Vows ‘Severe’ Response to Deadly Rocket Attack Tied to Hezbollah,https://www.nytimes.com/2024/07/29/world/middleeast/israel-hezbollah-lebanon.html,2024-07-29T23:28:05+0000,By Isabel Kershner and Euan Ward,World,
"Worried About a Convention Clash, Democrats Woo Uncommitted Delegates",https://www.nytimes.com/2024/08/12/us/politics/democratic-convention-uncommitted.html,2024-08-12T20:16:59+0000,By Jonathan Weisman,U.S.,
"Gaza Is World’s Deadliest Place for Aid Workers, U.N. Says",https://www.nytimes.com/2024/06/17/world/middleeast/gaza-aid-workers-un.html,2024-06-17T17:20:30+0000,By Raja Abdulrahim,World,
"New York City, for Some Jews, Feels Newly Tense",https://www.nytimes.com/2023/12/20/nyregion/jewish-new-york.html,2023-12-20T08:00:41+0000,By Katherine Rosman and Jonah Markowitz,New York,
‘The Ezra Klein Show’ 2024 Book Recommendations,https://www.nytimes.com/2025/02/05/opinion/the-ezra-klein-show-book-recommendations-2024.html,2025-02-05T17:47:42+0000,,Opinion,
Report on Antisemitism at CUNY Calls for Changes Across the System,https://www.nytimes.com/2024/09/24/us/cuny-antisemitism-report.html,2024-09-24T14:00:14+0000,By Sharon Otterman,U.S.,
Dozens Arrested at U.Va. as Other Protests Disrupt Graduations,https://www.nytimes.com/2024/05/04/us/graduation-commencement-pro-palesitinian-protests.html,2024-05-04T09:03:31+0000,"By Emily Cochrane, Ryan Patrick Hooper, Kevin Williams and Jackson Landers",U.S.,
College Dorm Decorations Become a Front in the Campus Free Speech Wars,https://www.nytimes.com/2024/03/01/nyregion/campus-free-speech-barnard-columbia.html,2024-03-01T08:00:52+0000,By Sharon Otterman,New York,
"U.C.L.A. Can’t Let Protesters Block Jewish Students From Campus, Judge Says",https://www.nytimes.com/2024/08/14/us/ucla-jewish-students-gaza-protests.html,2024-08-14T15:54:50+0000,By Anemona Hartocollis,U.S.,
"Netanyahu, Who Clashed With Biden, Prepares for a Delicate Farewell",https://www.nytimes.com/2024/07/22/world/middleeast/netanyahu-biden-israel-gaza-congress.html,2024-07-22T09:39:27+0000,By Patrick Kingsley,World,
Harvard Reaches Agreement With Protesters to End Encampment,https://www.nytimes.com/2024/05/14/us/harvard-encampment-gaza-protest.html,2024-05-14T13:49:12+0000,By Anemona Hartocollis,U.S.,
‘In Egypt Now. Free!’: First Evacuees From Gaza Feel Relief and Gratitude,https://www.nytimes.com/2023/11/02/world/middleeast/gaza-egypt-rafah-crossing-evacuation.html,2023-11-02T16:32:49+0000,By Vivian Yee and Emma Bubola,World,
"Expecting Protests at the Oscars, Police Plan to Beef Up Security",https://www.nytimes.com/2024/03/06/arts/oscars-security-protests-police.html,2024-03-06T22:15:01+0000,By Matt Stevens,Arts,
"How Hamas Is Fighting in Gaza: Tunnels, Traps and Ambushes",https://www.nytimes.com/2024/07/13/world/middleeast/hamas-gaza-israel-fighting.html,2024-07-13T09:00:56+0000,"By Patrick Kingsley, Natan Odenheimer, Aaron Boxerman, Adam Sella and Iyad Abuheweila",World,
Joe Biden Is in Trouble,https://www.nytimes.com/2023/11/06/opinion/joe-biden-polling.html,2023-11-06T06:00:08+0000,By John Della Volpe,Opinion,
Now Is the Moment for Biden’s Age to Be an Asset,https://www.nytimes.com/2023/10/13/opinion/biden-israel-gaza.html,2023-10-14T02:54:24+0000,By Lydia Polgreen,Opinion,
"Leader’s Killing Is a Blow, but Not a Knockout, for Hamas",https://www.nytimes.com/2024/01/03/world/middleeast/hamas-leader-saleh-al-arouri-killed-ramifications.html,2024-01-03T16:15:48+0000,By Ben Hubbard,World,
"Who Is Hassan Nasrallah, Leader of Hezbollah?",https://www.nytimes.com/2024/09/27/world/middleeast/hassan-nasrallah-hezbollah-leader.html,2024-09-27T19:08:56+0000,By Neil MacFarquhar,World,
A Chill Has Fallen Over Jews in Publishing,https://www.nytimes.com/2024/05/27/opinion/publishing-literary-antisemitism.html,2024-05-27T09:03:18+0000,By James Kirchick,Opinion,
A Final Graduation Requirement: Making Sense of Protest,https://www.nytimes.com/2024/05/28/business/columbia-campus-protests-graduation.html,2024-05-28T13:00:14+0000,By Emma Goldberg,Business Day,
Why on Earth Are Jewish Leaders Praising Elon Musk?,https://www.nytimes.com/2023/11/20/opinion/adl-elon-musk-antisemitism.html,2023-11-20T23:22:41+0000,By Michelle Goldberg,Opinion,
Algerian Man Charged Over Synagogue Arson Attack in France,https://www.nytimes.com/2024/08/28/world/europe/france-synagogue-arson-attack-charges.html,2024-08-28T21:38:44+0000,By Aurelien Breeden,World,
‘This Is Personal’: Dearborn’s Arab Americans Endure the Agony of War,https://www.nytimes.com/2023/12/01/us/israel-hamas-war-dearborn-muslims.html,2023-12-01T10:00:49+0000,By Kurt Streeter,U.S.,
"Al-Arouri’s killing is a blow to Hamas, though likely not a debilitating one, analysts say.",https://www.nytimes.com/2024/01/03/world/middleeast/al-arouris-killing-is-a-blow-to-hamas-though-likely-not-a-debilitating-one-analysts-say.html,2024-01-03T11:52:55+0000,By Ben Hubbard,World,
Police Officers Respond as Clashes Erupt at U.C.L.A. Encampment,https://www.nytimes.com/2024/05/01/nyregion/ucla-protests.html,2024-05-01T08:47:11+0000,"By John Yoon, Yan Zhuang and Jonathan Wolfe",New York,
A TV Show Set Up a Fake Campus Protest. Then Real Protesters Arrived.,https://www.nytimes.com/2024/07/24/nyregion/queens-college-protest-encampment.html,2024-07-24T07:00:49+0000,By Claire Fahy,New York,
"Honed at Home in Yemen, Houthi Propaganda Is Going Global",https://www.nytimes.com/2024/01/24/world/middleeast/yemen-houthis-propaganda.html,2024-01-24T08:00:49+0000,By Vivian Nereim,World,
"After a Season of Protest, PEN America’s Literary Gala Goes Forward",https://www.nytimes.com/2024/05/16/arts/pen-america-gala-gaza.html,2024-05-17T03:42:26+0000,By Jennifer Schuessler,Arts,
Columbia Said It Had ‘No Choice’ but to Call the Police,https://www.nytimes.com/2024/05/01/nyregion/columbia-university-protests-arrests.html,2024-05-01T07:54:11+0000,By Sharon Otterman,New York,
Don’t Let Liberal Purity Elect Trump,https://www.nytimes.com/2024/10/30/opinion/gaza-harris-trump.html,2024-10-30T23:00:19+0000,By Nicholas Kristof,Opinion,
"At U.C.L.A., Protesters Briefly Form Encampment and Occupy Building Before Police Move In",https://www.nytimes.com/2024/05/23/us/ucla-pro-palestinian-encampment.html,2024-05-23T20:13:16+0000,"By Jonathan Wolfe, Grace Whitaker and Nicholas Bogel-Burroughs",U.S.,
UChicago Says Free Speech Is Sacred. Some Students See Hypocrisy.,https://www.nytimes.com/2024/05/06/us/university-of-chicago-protests-encampment.html,2024-05-06T10:52:21+0000,By Jeremy W. Peters and Jamie Kelter Davis,U.S.,
Families of American Victims of Oct. 7 Attack Sue Iran,https://www.nytimes.com/2024/11/17/us/politics/iran-oct-7-families-lawsuit.html,2024-11-17T21:37:42+0000,By Adam Goldman and Ronen Bergman,U.S.,
Arab American Fury Toward Biden,https://www.nytimes.com/2024/02/28/opinion/voters-michigan-biden-gaza.html,2024-02-28T20:30:52+0000,By Charles M. Blow,Opinion,
"Feeling Alone and Estranged, Many Jews at Harvard Wonder What’s Next",https://www.nytimes.com/2023/12/16/us/jews-harvard-antisemitism-israel-war.html,2023-12-16T18:50:32+0000,"By Anemona Hartocollis, Jeremy W. Peters and Dana Goldstein",U.S.,
What Students Read Before They Protest,https://www.nytimes.com/2024/04/27/opinion/columbia-university-protests.html,2024-04-27T11:00:13+0000,By Ross Douthat,Opinion,
"Paris, 1919: History’s Slingshot",https://www.nytimes.com/2023/11/29/world/europe/paris-1919-historys-slingshot.html,2023-11-29T21:56:07+0000,By Amanda Taub,World,
Gaza in Ruins After a Year of War,https://www.nytimes.com/interactive/2024/10/07/world/middleeast/israel-gaza-destruction-hamas-war.html,2024-10-07T23:46:23+0000,"By Raja Abdulrahim, Helmuth Rosales, Bilal Shbair, Anjali Singhvi, Erika Solomon, Iyad Abuheweila, Abu Bakr Bashir, Ameera Harouda, Malika Khurana, Veronica Penney and Scott Reinhard",World,
A Campus Protest Movement Seeks to Regain Momentum but Faces Hurdles,https://www.nytimes.com/2024/09/04/us/campus-protests-columbia-penn-cornell-michigan.html,2024-09-04T21:33:55+0000,By Sharon Otterman,U.S.,
Bowman Falls to Latimer in a Loss for Progressive Democrats,https://www.nytimes.com/2024/06/25/nyregion/bowman-latimer-house-new-york.html,2024-06-26T01:41:57+0000,By Nicholas Fandos,New York,
"Gaza’s Historic Heart, Now in Ruins",https://www.nytimes.com/interactive/2024/05/28/arts/gaza-omari-mosque.html,2024-05-28T20:00:17+0000,"By Bora Erden, Graham Bowley and Tala Safie",Arts,
The Marketing of a Massacre,https://www.nytimes.com/2023/10/19/opinion/israel-hamas-attacks-palestinians.html,2023-10-19T16:55:03+0000,By Frank Bruni,Opinion,
Carnage and Contradiction: Examining a Deadly Strike in Rafah,https://www.nytimes.com/2024/06/14/world/europe/carnage-and-contradiction-examining-a-deadly-strike-in-rafah.html,2024-06-14T09:02:25+0000,"By Bilal Shbair, Iyad Abuheweila, Neil Collier, Cassandra Vinograd, Christiaan Triebert and Lauren Leatherby",World,
The Activist Left Doesn’t Want a Hero. But Does It Need One?,https://www.nytimes.com/2024/08/13/magazine/new-left-leadership.html,2024-08-13T09:02:42+0000,By Ross Barkan,Magazine,
I’m a Columbia Professor. The Protests on My Campus Are Not Justice.,https://www.nytimes.com/2024/04/23/opinion/columbia-protests-israel.html,2024-04-23T19:43:41+0000,By John McWhorter,Opinion,
Who Are the Favorites to Win Eurovision?,https://www.nytimes.com/2024/05/10/arts/music/eurovision-odds-favorites.html,2024-05-10T16:42:03+0000,By Alex Marshall,Arts,
A Leading Free Expression Group Is Roiled by Dissent Over Gaza,https://www.nytimes.com/2024/05/15/arts/pen-free-expression-gaza.html,2024-05-15T15:26:17+0000,By Jennifer Schuessler,Arts,
"Biden and Macron Talk Togetherness, With No Mention of Discord Over Gaza",https://www.nytimes.com/2024/06/08/world/europe/biden-macron.html,2024-06-08T16:38:21+0000,By Michael D. Shear and Peter Baker,World,
"How Counterprotesters at U.C.L.A. Provoked Violence, Unchecked for Hours",https://www.nytimes.com/interactive/2024/05/03/us/ucla-protests-encampment-violence.html,2024-05-03T22:17:19+0000,"By Neil Bedi, Bora Erden, Marco Hernandez, Ishaan Jhaveri, Arijeta Lajka, Natalie Reneau, Helmuth Rosales and Aric Toler",U.S.,
When Everyone Becomes a War Photographer,https://www.nytimes.com/2023/10/12/arts/design/war-photos-israel-gaza.html,2023-10-12T15:15:27+0000,By Jason Farago,Arts,
"Hassan Nasrallah, Who Led Hezbollah for Decades, Killed at 64",https://www.nytimes.com/2024/09/28/world/middleeast/hassan-nasrallah-hezbollah-dead.html,2024-09-28T13:39:53+0000,By Neil MacFarquhar and Ben Hubbard,World,
Campus Protests Over Gaza Intensify Amid Pushback by Universities and Police,https://www.nytimes.com/2024/04/24/us/college-protests-spread-austin-dallas.html,2024-04-24T23:36:50+0000,"By J. David Goodman, David Montgomery, Jonathan Wolfe and Jenna Russell",U.S.,
"Hamas Skimmed $1 Billion in U.N. Aid for Weapons and Tunnels, Suit Says",https://www.nytimes.com/2024/06/24/nyregion/hamas-gaza-aid-unrwa-lawsuit.html,2024-06-24T19:48:32+0000,By Ken Belson and Katherine Rosman,New York,
Friday Briefing,https://www.nytimes.com/2024/01/26/briefing/gaza-future-north-korea-economy.html,2024-01-26T05:02:07+0000,By Natasha Frost,Briefing,
Doug Emhoff Stresses a Personal Push Against Antisemitism,https://www.nytimes.com/2024/08/09/world/europe/doug-emhoff-antisemitism-paris.html,2024-08-09T13:49:21+0000,By Aurelien Breeden,World,
"The New York Times News Quiz, Nov. 10, 2023",https://www.nytimes.com/interactive/2023/11/10/briefing/quiz-elections-israel-trump-marathon.html,2023-11-10T10:03:18+0000,,Briefing,
"Under Rules of War, ‘Proportionality’ in Gaza Is Not About Evening the Score",https://www.nytimes.com/2023/12/13/world/middleeast/israel-gaza-proportionality-law-of-war.html,2023-12-13T05:01:23+0000,By Steven Erlanger,World,
"Kent State Protesters Call for University to Divest, Echoing Vietnam War Protests",https://www.nytimes.com/2024/05/04/us/kent-state-massacre-divest-vietnam-war-protest.html,2024-05-05T02:52:29+0000,By Patrick Cooley,U.S.,
How the ‘Uncommitted’ Effort to Protest Biden Has Spread in Super Tuesday States,https://www.nytimes.com/2024/03/05/us/politics/biden-uncommitted-vote-super-tuesday.html,2024-03-05T22:58:53+0000,By Anjali Huynh,U.S.,
What Part of Civil Society Will Trump’s Party Target Next?,https://www.nytimes.com/2024/05/10/opinion/republicans-protest-israel.html,2024-05-10T09:04:58+0000,By Michelle Goldberg,Opinion,
Why Campus Speech Is Vexing,https://www.nytimes.com/2023/12/12/briefing/campus-free-speech-israel-hamas.html,2023-12-12T11:36:35+0000,By David Leonhardt,Briefing,
"Hillary Clinton Returns to Wellesley, but the Homecoming Is More Complicated",https://www.nytimes.com/2024/04/06/us/hillary-clinton-wellesley-protests.html,2024-04-06T22:01:04+0000,By Jenna Russell,U.S.,
2 School Districts to Testify as Congress Expands Antisemitism Inquiry,https://www.nytimes.com/2024/04/12/nyregion/nyc-schools-chancellor-antisemitism-congress-hearing.html,2024-04-12T16:17:52+0000,By Troy Closson,New York,
"Visiting Europe, Biden Will Find Both Solidarity and Isolation",https://www.nytimes.com/2024/06/04/us/politics/biden-europe-israel-ukraine.html,2024-06-04T17:51:34+0000,By Michael D. Shear and Peter Baker,U.S.,
College Officials Must Condemn On-Campus Support for Hamas Violence,https://www.nytimes.com/2024/10/20/opinion/hamas-colleges-free-speech.html,2024-10-20T10:00:24+0000,By Erwin Chemerinsky,Opinion,
Columbia’s President Tells Congress That Action Is Needed Against Antisemitism,https://www.nytimes.com/2024/04/17/nyregion/columbia-university-president-nemat-shafik-hearing.html,2024-04-17T07:00:12+0000,"By Nicholas Fandos, Stephanie Saul and Sharon Otterman",New York,
"A Debut Novel That Skewers Capitalism, One Scalped Birkin at a Time",https://www.nytimes.com/2024/07/11/books/review/the-coin-yasmin-zaher.html,2024-07-11T09:01:31+0000,By Lauren Christensen,Books,
"University Leaders Face a Long, Complex Summer",https://www.nytimes.com/2024/05/24/us/congressional-hearings-campus-antisemitism-protests.html,2024-05-24T09:05:27+0000,By Jeremy W. Peters,U.S.,
The Student-Led Protests Aren’t Perfect. That Doesn’t Mean They’re Not Right.,https://www.nytimes.com/2024/04/26/opinion/columbia-student-protests-israel.html,2024-04-26T22:25:57+0000,By Lydia Polgreen and Mark Peterson,Opinion,
Transcript: Ezra Klein Interviews Sharon Brous,https://www.nytimes.com/2023/11/17/podcasts/transcript-ezra-klein-interviews-sharon-brous.html,2023-11-17T16:16:33+0000,,Podcasts,
"To Dial Down Campus Tensions, Colleges Teach the Art of Conversation",https://www.nytimes.com/2024/12/14/us/college-campuses-gaza-conversations.html,2024-12-14T10:00:30+0000,By Anemona Hartocollis,U.S.,
Professors in Trouble Over Protests Wonder if Academic Freedom Is Dying,https://www.nytimes.com/2024/10/23/us/faculty-protests-academic-freedom-tenure-discipline.html,2024-10-23T09:02:15+0000,By Anemona Hartocollis,U.S.,
A New Issue Flares in the 2024 Race: Campus Protests,https://www.nytimes.com/2024/05/03/us/politics/biden-trump-campus-protests.html,2024-05-03T09:06:18+0000,By Lisa Lerer,U.S.,
British Colleges Are Handling Protests Differently. Will It Pay Off?,https://www.nytimes.com/2024/05/11/world/europe/british-colleges-are-handling-protests-differently-will-it-pay-off.html,2024-05-11T04:01:21+0000,By Stephen Castle and Mary Turner,World,
"War Is on the Agenda in Davos, but the Focus Is Elsewhere",https://www.nytimes.com/2024/01/18/business/ukraine-gaza-war-davos.html,2024-01-18T21:29:10+0000,By Jim Tankersley,Business Day,
Doug Emhoff Calls Trump a ‘Known Antisemite’ as Biden Team Steps Up Attacks,https://www.nytimes.com/2024/05/21/us/politics/doug-emhoff-trump-antisemite.html,2024-05-22T03:04:36+0000,By Reid J. Epstein,U.S.,
Humanitarians Are Dying. Why Doesn’t the World Care?,https://www.nytimes.com/2024/08/26/opinion/humanitarian-deaths-red-cross.html,2024-08-26T09:01:25+0000,By Kate Forbes,Opinion,
White House Cancels $400 Million in Grants and Contracts to Columbia,https://www.nytimes.com/2025/03/07/nyregion/trump-administration-columbia-grants-cancelled-antisemitism.html,2025-03-07T17:57:23+0000,By Sharon Otterman and Liam Stack,New York,
Police Make Arrests While Trying to Contain Protests,https://www.nytimes.com/2024/05/06/fashion/protests-met-gala-arrests.html,2024-05-06T23:49:23+0000,"By Madison Malone Kircher, Alex Vadukul and Benjamin Hoffman",Fashion & Style,
"And Now, a Real-World Lesson for Student Activists",https://www.nytimes.com/2024/05/30/opinion/college-activism-israel-gaza.html,2024-05-30T09:03:25+0000,By Pamela Paul,Opinion,
"In an Online World, a New Generation of Protesters Chooses Anonymity",https://www.nytimes.com/2024/05/02/nyregion/college-campus-protests-anonymity.html,2024-05-02T07:00:20+0000,By Nicholas Fandos,New York,
Wafa Al-Udaini Captured the Experiences of Palestinians From Within,https://www.nytimes.com/interactive/2024/12/20/magazine/wafa-aludaini-killed-palestinian-journalist.html,2024-12-20T20:45:18+0000,By J Wortham,Magazine,
Campus Speech Codes Should Be Abolished,https://www.nytimes.com/2023/12/13/opinion/college-free-speech-antisemitism.html,2023-12-13T10:03:36+0000,By James Kirchick,Opinion,
The Trauma Experienced in Gaza Is Beyond PTSD,https://www.nytimes.com/2024/02/22/opinion/gaza-palestinians-mental-health.html,2024-02-22T10:03:41+0000,By Yara M. Asi,Opinion,
"Before the Violence, U.C.L.A. Thought a Tolerant Approach Would Work",https://www.nytimes.com/2024/05/01/us/ucla-classes-protests.html,2024-05-01T18:23:37+0000,"By Corina Knoll, Jonathan Wolfe and Emily Baumgaertner",U.S.,
Jewish Celebrities and Influencers Confront TikTok Executives in Private Call,https://www.nytimes.com/2023/11/16/technology/tiktok-jewish-open-letter-antisemitism.html,2023-11-16T19:24:39+0000,By Sapna Maheshwari,Technology,
Why Iran Doesn’t Want a War,https://www.nytimes.com/2024/01/22/opinion/iran-war-middle-east.html,2024-01-22T06:00:11+0000,By Reuel Marc Gerecht and Ray Takeyh,Opinion,
Barnard Ends Suspensions for Most Student Protesters Who Were Arrested,https://www.nytimes.com/2024/04/26/nyregion/barnard-student-suspensions-campus-protests.html,2024-04-27T02:34:08+0000,By Claire Fahy,New York,
"Hello, I Do Not Work Seven Days a Week",https://www.nytimes.com/2023/12/09/business/work-friend-roxane-gay.html,2023-12-09T10:02:26+0000,By Roxane Gay,Business Day,
"Columbia, Free Speech and the Coddling of the American Right",https://www.nytimes.com/2024/04/19/opinion/columbia-protests-israel-gaza-crackdown.html,2024-04-19T16:52:00+0000,By Lydia Polgreen,Opinion,
I.O.C. Says It Was Target of Elaborate ‘Fake News’ Campaign,https://www.nytimes.com/2023/11/09/world/europe/ioc-fake-news.html,2023-11-09T20:10:07+0000,By Tariq Panja,World,
A Small Campus in the Redwoods Has the Nation’s Most Entrenched Protest,https://www.nytimes.com/2024/04/29/us/humboldt-protest-cal-poly.html,2024-04-30T02:00:10+0000,By Jonathan Wolfe,U.S.,
A Timeline of Nemat Shafik’s Tenure as President of Columbia University,https://www.nytimes.com/2024/04/26/us/minouche-shafik-columbia-university-president.html,2024-04-26T09:04:52+0000,By Adeel Hassan,U.S.,
"In Georgia, Harris’s Muslim Backers Push Her as Better Than the Alternative",https://www.nytimes.com/2024/10/24/us/politics/harris-georgia-muslim-arab-voters.html,2024-10-24T19:10:07+0000,By Maya King,U.S.,
Inside the Desperate Effort to Evacuate Young Cancer Patients From Gaza,https://www.nytimes.com/2023/11/14/us/politics/gaza-hospitals-cancer-israel.html,2023-11-14T19:23:06+0000,By Sharon LaFraniere and Erica L. Green,U.S.,
"Harvard, M.I.T. and Systemic Antisemitism",https://www.nytimes.com/2024/03/14/opinion/harvard-mit-and-systemic-antisemitism.html,2024-03-14T19:00:05+0000,By David French,Opinion,
Strike Over Campus Protests Expands to U.C. Davis and U.C.L.A.,https://www.nytimes.com/2024/05/23/us/campus-protest-strike-ucla-uc-davis.html,2024-05-23T21:23:47+0000,By Shawn Hubler,U.S.,
A Wave of Pride Lights Up New York City,https://www.nytimes.com/2024/06/30/nyregion/nyc-pride-parade.html,2024-06-30T17:45:44+0000,By Lola Fadulu and Gaya Gupta,New York,
Wednesday Briefing: A Turbulent Moment in U.S. Politics,https://www.nytimes.com/2024/07/16/briefing/biden-nomination-trump-rnc.html,2024-07-16T20:59:34+0000,By Daniel E. Slotnik,Briefing,
NYU Langone Fired Him for His Posts on the Mideast War. He’s Suing.,https://www.nytimes.com/2023/11/24/nyregion/nyu-langone-cancer-doctor-fired-lawsuit.html,2023-11-24T08:00:17+0000,By Joseph Goldstein,New York,
House Republicans Clash With Leaders of Public Schools Over Antisemitism Claims,https://www.nytimes.com/2024/05/08/us/house-gop-public-school-leaders-antisemitism.html,2024-05-08T20:29:42+0000,"By Dana Goldstein, Troy Closson and Michael Levenson",U.S.,
Dartmouth’s Leader Called in Police Quickly. The Fallout Was Just as Swift.,https://www.nytimes.com/2024/05/13/us/dartmouth-campus-protests-police-beilock.html,2024-05-13T09:02:50+0000,By Vimal Patel,U.S.,
Wednesday Briefing,https://www.nytimes.com/2024/07/17/briefing/biden-isolation-gaza-strikes.html,2024-07-17T04:06:34+0000,By Natasha Frost,Briefing,
The Bitter Fight Over the Meaning of ‘Genocide’,https://www.nytimes.com/2024/08/20/magazine/genocide-definition.html,2024-08-20T09:02:50+0000,By Linda Kinstler,Magazine,
Berkeley Schools Superintendent to Testify Today on Capitol Hill,https://www.nytimes.com/2024/05/08/us/berkeley-superintendent-congress-antisemitism.html,2024-05-08T13:08:09+0000,By Soumya Karlamangla,U.S.,
More Than Words: 10 Charts That Defined 2023,https://www.nytimes.com/interactive/2023/12/28/opinion/2023-charts-inflation-politics.html,2023-12-28T10:03:12+0000,By Steven Rattner and Taylor Maggiacomo,Opinion,
"What We Know About Columbia University’s President, Nemat Shafik",https://www.nytimes.com/2024/04/19/nyregion/nemat-shafik-columbia-university-president.html,2024-04-19T17:54:13+0000,By Troy Closson and Megan Specia,New York,
Monday Briefing: Babies Evacuated From Al-Shifa,https://www.nytimes.com/2023/11/19/briefing/babies-evacuated-al-shifa-hospital-openai-sam-altman-bedbugs.html,2023-11-19T20:58:05+0000,By Justin Porter,Briefing,
China’s Economic Stake in the Middle East: Its Thirst for Oil,https://www.nytimes.com/2023/10/11/business/china-oil-saudi-arabia-iran.html,2023-10-11T14:12:33+0000,By Keith Bradsher,Business Day,
Brandeis President Steps Down Amid Budget Issues and Protests,https://www.nytimes.com/2024/09/25/us/brandeis-university-president-resigns.html,2024-09-25T17:55:27+0000,By Stephanie Saul,U.S.,
Colleges Warn Student Demonstrators: Enough,https://www.nytimes.com/2024/04/18/us/politics/colleges-protests-israel-war.html,2024-04-18T18:21:41+0000,By Jeremy W. Peters,U.S.,
College Parent Arrested After Confrontation at Syracuse Campus Protest,https://www.nytimes.com/2024/05/10/nyregion/ronn-torossian-syracuse-arrest.html,2024-05-11T01:15:18+0000,By Katherine Rosman,New York,
Why the Protests Help Trump,https://www.nytimes.com/2024/05/02/opinion/student-protests-trump.html,2024-05-02T23:00:07+0000,By David Brooks,Opinion,
The Laws of Campus Culture War,https://www.nytimes.com/2023/11/02/opinion/columnists/campus-speech-culture-war.html,2023-11-02T20:48:39+0000,By David French,Opinion,
"As the U.A.W. Scores Wins in Red States, Tensions Emerge Over Gaza Protests",https://www.nytimes.com/2024/06/12/us/politics/uaw-gaza-biden.html,2024-06-12T19:23:28+0000,By Jonathan Weisman,U.S.,
U.S. Strikes Houthi Targets in Yemen for a Third Time,https://www.nytimes.com/2024/01/16/world/middleeast/us-strikes-houthis-yemen.html,2024-01-16T17:08:57+0000,By Eric Schmitt and Saeed Al-Batati,World,
"Macron Hosts Biden in Paris, Honoring a Not Always Easy Bond",https://www.nytimes.com/2024/06/08/world/europe/macron-biden-france-us.html,2024-06-08T04:01:29+0000,By Roger Cohen and Peter Baker,World,
Columbia Remains Divided but Cautiously Optimistic as President Departs,https://www.nytimes.com/2024/08/15/nyregion/columbia-university-shafik-resigns-students-faculty.html,2024-08-15T18:30:44+0000,"By Sharon Otterman, Stephanie Saul and Wesley Parnell",New York,
"Transcript: Ezra Klein on Gaza, A.I. and the 2024 Elections",https://www.nytimes.com/2023/12/20/podcasts/transcript-ezra-klein-ask-me-anything.html,2023-12-20T18:51:13+0000,,Podcasts,
"No, I Don’t Want to Protest",https://www.nytimes.com/2024/06/20/opinion/protests.html,2024-06-20T09:02:35+0000,By Pamela Paul,Opinion,
Tuesday Briefing: Support Builds for Kamala Harris,https://www.nytimes.com/2024/07/22/briefing/kamala-harris-endorsement-secret-service.html,2024-07-22T20:50:53+0000,By Daniel E. Slotnik,Briefing,
How TikTok Changed Us,https://www.nytimes.com/2024/04/19/briefing/tiktok-congress.html,2024-04-19T10:42:09+0000,By Sapna Maheshwari,Briefing,
"With War Raging, Colleges Confront a Crisis of Their Own Making",https://www.nytimes.com/2023/10/26/opinion/israel-palestine-college-campuses.html,2023-10-26T16:00:02+0000,By Frank Bruni,Opinion,
How ‘September 5’ Recreates a Historic News Broadcast,https://www.nytimes.com/2024/11/27/movies/september-5-munich-olympics-israeli-athletes-massacre.html,2024-11-27T10:00:57+0000,By Annie Aguiar,Movies,
U.S.-Led Strikes Leave Yemen Back on the Brink of War,https://www.nytimes.com/2024/01/13/world/middleeast/american-strikes-yemen-war.html,2024-01-13T05:01:25+0000,By Vivian Nereim and Saeed Al-Batati,World,
Thursday Briefing,https://www.nytimes.com/2024/12/05/briefing/france-south-korea-assassination.html,2024-12-05T05:02:04+0000,By Natasha Frost,Briefing,
From ‘Perfect Candidate’ to Sudden Exit: Inside the Fall of Columbia’s President,https://www.nytimes.com/2024/08/16/us/columbia-president-nemat-shafik.html,2024-08-16T19:34:16+0000,"By Alan Blinder, Stephanie Saul, Sharon Otterman and Mark Landler",U.S.,
Campus Protest Investigations Hang Over Schools as New Academic Year Begins,https://www.nytimes.com/2024/10/05/us/politics/college-campus-protests-investigations.html,2024-10-05T09:00:40+0000,By Zach Montague,U.S.,
‘S.N.L’ Returns With Pete Davidson and a Taylor Swift Cameo,https://www.nytimes.com/2023/10/15/arts/television/saturday-night-live-taylor-swift-pete-davidson.html,2023-10-15T06:43:36+0000,By Dave Itzkoff,Arts,
